ventana,pares,rmse,mae,l2,l2_time,horas
2h,3772,8.317989256610664,6.23685789738856,510.8627032482378,37666.102880023325,2
4h,3787,7.746681395594141,5.954692594197573,476.7199724219929,38407.105462781976,4
6h,3787,7.373833555302248,5.7675968554127275,453.775436166424,37173.066478414126,6
8h,3787,7.104819171099145,5.651588679705192,437.22066603074234,39576.839983217156,8
10h,3787,6.923802080942254,5.574013642995342,426.0811266821147,39730.85534508169,10
12h,3787,6.806299511676504,5.521770619679927,418.85018239521787,37671.584800721736,12
14h,3787,6.716816562555672,5.472335204675298,413.34352646621795,36758.12928485165,14
16h,3787,6.644678328874623,5.435578199925921,408.9042401428435,34744.0577294945,16
18h,3787,6.582666136146456,5.401715780016543,405.08809626166965,33599.60659746389,18
20h,3787,6.524284027447206,5.370545301083676,401.49534269046006,32516.727890355323,20
22h,3787,6.474599736042572,5.3471558835292115,398.4378406687951,30873.488312084195,22
24h,3787,6.438975402910386,5.332646534666417,396.2455688763878,29479.549330148195,24
26h,3787,6.410679903811872,5.320842900966031,394.5043033123255,28644.782449147195,26
28h,3787,6.3845265542086995,5.306703343470839,392.8948626415554,28379.064797286726,28
30h,3787,6.362372915318691,5.297598759408446,391.531558591553,28608.09249573895,30
32h,3787,6.3403492211636765,5.288778296558667,390.1762511593692,29407.632450851004,32
34h,3787,6.3196322296933785,5.280247281840466,388.9013563885575,29739.478026295586,34
36h,3787,6.298052473594378,5.271591580986716,387.57336828538865,29742.499447428265,36
38h,3787,6.279924401877112,5.263532982679126,386.4577920266265,29739.651999493643,38
40h,3787,6.262143978141629,5.254688223586755,385.3636095399617,30117.75375836198,40
42h,3787,6.245208750778366,5.248099890310288,384.3214392596444,30213.567885256918,42
44h,3787,6.22526169784225,5.240273856356352,383.09392543275425,30445.985562939117,44
46h,3787,6.203977727930471,5.231324293618337,381.7841395991527,30374.84329792165,46
48h,3787,6.186409130434187,5.2236227434683045,380.7029926039136,30133.70786138813,48
50h,3787,6.170106564624751,5.217410106439936,379.69975543354246,29637.434167545303,50
52h,3787,6.158827956435085,5.213890123540479,379.00568561053495,29398.708477240485,52
54h,3787,6.147940261147994,5.211081870564825,378.3356720225289,29516.211661941506,54
56h,3787,6.137047151720831,5.207868028958754,377.66532525589156,29968.811291007103,56
58h,3787,6.125197616219437,5.202868844270267,376.93612136212477,30319.414500128143,58
60h,3787,6.114755486296773,5.198257400131651,376.29352724542457,30329.151968276896,60
62h,3787,6.104614011586068,5.19371337120443,375.66943503128556,30027.412667201064,62
64h,3787,6.095574373326333,5.189234629539781,375.1131482961248,30120.454907161205,64
66h,3787,6.084629484148569,5.1830441699019545,374.4396150758283,29696.47468158993,66
68h,3787,6.07397636378164,5.176997763511318,373.7840369013575,29469.482047857095,68
70h,3787,6.0636035225639375,5.171336584023305,373.14570671495625,29209.39593148728,70
72h,3787,6.054956435484131,5.166767222013021,372.6135770321013,28964.95924191296,72
74h,3787,6.048742113134503,5.1661455997383845,372.23115629890566,29239.063942956625,74
76h,3787,6.041688098066932,5.163607684505132,371.79706204657344,29146.87432994234,76
78h,3787,6.034718764139612,5.161145357272496,371.3681789535471,29366.12243663781,78
80h,3787,6.026583473472968,5.156871586853211,370.86754450839584,29755.05037422147,80
82h,3787,6.019037863753372,5.1534205336562655,370.40319820657436,30123.243032614708,82
84h,3787,6.011552503041929,5.149645661115571,369.9425595447137,30110.351445420438,84
86h,3787,6.004626463343954,5.145901322229198,369.5163407181991,30093.825847767348,86
88h,3787,5.996702922938388,5.141723282301636,369.02873708888575,30202.206770233093,88
90h,3787,5.989366078911118,5.138363488805587,368.57723793670243,30312.88357483842,90
92h,3787,5.980508695775145,5.133794019314726,368.0321669277523,30398.720541598163,92
94h,3787,5.971290200016002,5.127958295623843,367.4648735514466,30417.145998445558,94
96h,3787,5.963413844044509,5.123492989230637,366.9801735864201,30344.164314618134,96
98h,3787,5.955758214412718,5.1188007663878246,366.5090568125954,30361.488788226656,98
100h,3787,5.948509031131241,5.114595849832737,366.0629521804889,30083.16850046098,100
102h,3787,5.941447341714919,5.110588057628277,365.6283856594343,30119.910666213098,102
104h,3787,5.933945887655383,5.106680303424572,365.16675663536984,30291.16566492432,104
106h,3787,5.926981236848194,5.103628991111805,364.738161735027,30533.242985075063,106
108h,3787,5.920235677875625,5.100193790553066,364.3230494407221,30598.608778256945,108
110h,3787,5.9136153933044415,5.096753015808072,363.9156463584171,30543.68002663955,110
112h,3787,5.906425286502554,5.09232520012586,363.47317721049825,30508.67078893515,112
114h,3787,5.899356023598692,5.088202805678392,363.03814462757964,30599.786645257333,114
116h,3787,5.8921082796844555,5.0843855769171675,362.59212857212634,30548.468966624936,116
118h,3787,5.884763762610374,5.0799183329142705,362.1401572313403,30340.28340374242,118
120h,3787,5.878016034058403,5.076360736439615,361.7249114241439,30124.126590841806,120
