ventana,horas,pares,alcance_ref,alcance_sen
4h,4,3819,24.48,41.08
8h,8,3819,22.2,37.21
12h,12,3819,20.02,36.43
16h,16,3819,19.96,34.24
20h,20,3819,19.22,33.26
24h,24,3819,18.63,33.11
28h,28,3819,17.97,32.71
32h,32,3819,17.57,32.16
36h,36,3819,17.28,32.36
40h,40,3819,17.06,31.74
44h,44,3819,16.72,31.08
48h,48,3819,16.04,30.75
52h,52,3819,15.51,29.98
56h,56,3819,15.22,29.27
60h,60,3819,15.43,29.16
64h,64,3819,15.85,29.09
68h,68,3819,16.21,29.13
72h,72,3819,16.36,29.14
76h,76,3819,16.4,29.09
80h,80,3819,16.49,28.99
84h,84,3819,16.75,28.99
88h,88,3819,16.81,28.92
92h,92,3819,16.97,28.79
96h,96,3819,17.24,28.63
100h,100,3819,17.34,28.52
104h,104,3819,17.55,28.5
108h,108,3819,17.93,28.49
112h,112,3819,17.92,28.53
116h,116,3819,17.63,28.54
120h,120,3819,17.64,28.49
