ventana_min,ventana_horas,freq_pandas
30,0.5,30min
60,1.0,60min
90,1.5,90min
120,2.0,120min
150,2.5,150min
180,3.0,180min
210,3.5,210min
240,4.0,240min
270,4.5,270min
300,5.0,300min
330,5.5,330min
360,6.0,360min
390,6.5,390min
420,7.0,420min
450,7.5,450min
480,8.0,480min
510,8.5,510min
540,9.0,540min
570,9.5,570min
600,10.0,600min
630,10.5,630min
660,11.0,660min
690,11.5,690min
720,12.0,720min
750,12.5,750min
780,13.0,780min
810,13.5,810min
840,14.0,840min
870,14.5,870min
900,15.0,900min
930,15.5,930min
960,16.0,960min
990,16.5,990min
1020,17.0,1020min
1050,17.5,1050min
1080,18.0,1080min
1110,18.5,1110min
1140,19.0,1140min
1170,19.5,1170min
1200,20.0,1200min
1230,20.5,1230min
1260,21.0,1260min
1290,21.5,1290min
1320,22.0,1320min
1350,22.5,1350min
1380,23.0,1380min
1410,23.5,1410min
1440,24.0,1440min
1470,24.5,1470min
1500,25.0,1500min
1530,25.5,1530min
1560,26.0,1560min
1590,26.5,1590min
1620,27.0,1620min
1650,27.5,1650min
1680,28.0,1680min
1710,28.5,1710min
1740,29.0,1740min
1770,29.5,1770min
1800,30.0,1800min
1830,30.5,1830min
1860,31.0,1860min
1890,31.5,1890min
1920,32.0,1920min
1950,32.5,1950min
1980,33.0,1980min
2010,33.5,2010min
2040,34.0,2040min
2070,34.5,2070min
2100,35.0,2100min
2130,35.5,2130min
2160,36.0,2160min
2190,36.5,2190min
2220,37.0,2220min
2250,37.5,2250min
2280,38.0,2280min
2310,38.5,2310min
2340,39.0,2340min
2370,39.5,2370min
2400,40.0,2400min
2430,40.5,2430min
2460,41.0,2460min
2490,41.5,2490min
2520,42.0,2520min
2550,42.5,2550min
2580,43.0,2580min
2610,43.5,2610min
2640,44.0,2640min
2670,44.5,2670min
2700,45.0,2700min
2730,45.5,2730min
2760,46.0,2760min
2790,46.5,2790min
2820,47.0,2820min
2850,47.5,2850min
2880,48.0,2880min
